Fly Ash,GGBFS,NaOH_Molarity,NaOH amount,Sodium Silicate,Extra Water,Coarse Agg,Fine Agg,Coarse/Fine Agg,SuperPlasticizer,Curing Time(h),Curing Temp(C),Age of Testing (day),Compressive Strength (MPa),Total GHG emission,Total Cost(USD)
400,0,12,57,143,40,950,850,1.117647059,28,24,70,,53.46,645.3356135,222.127
400,0,12,57,143,48,950,850,1.117647059,28,24,70,,45.01,645.3356135,222.127
400,0,12,57,143,60,950,850,1.117647059,28,24,70,,37.31,645.3356135,222.127
400,0,12,57,143,80,950,850,1.117647059,28,24,70,,22.58,645.3356135,222.127
400,0,12,57,143,48,950,850,1.117647059,28,48,70,,51.03,645.3356135,222.127
400,0,12,57,143,48,950,850,1.117647059,28,72,70,,51.41,645.3356135,222.127
400,0,12,57,143,48,950,850,1.117647059,28,96,70,,51.68,645.3356135,222.127
400,0,12,57,143,48,950,850,1.117647059,28,48,60,,44.81,645.3356135,222.127
400,0,12,57,143,48,950,850,1.117647059,28,48,80,,48.56,645.3356135,222.127
400,0,12,57,143,48,950,850,1.117647059,28,48,90,,47.99,645.3356135,222.127
476,0,8,120,48,0,1294,554,2.335740072,0,24,60,,17,409.7622566,162.4512
476,0,8,48,120,0,1294,554,2.335740072,0,24,60,,57,669.4155554,173.1792
476,0,8,48,120,0,1294,554,2.335740072,0,24,90,,66,669.4155554,173.1792
476,0,14,120,48,0,1294,554,2.335740072,0,24,60,,48,409.7622566,162.4512
476,0,14,48,120,0,1294,554,2.335740072,0,24,60,,68,669.4155554,173.1792
476,0,14,48,120,0,1294,554,2.335740072,0,24,90,,70,669.4155554,173.1792
408,0,8,41,103,0,1201,647,1.85625966,6.1,24,60,,63,546.8814796,161.2802
408,0,14,41,103,0,1294,554,2.335740072,8.2,24,60,,59,586.0187954,164.4302
408,0,14,41,103,0,1294,554,2.335740072,8.2,24,75,,65,586.0187954,164.4302
408,0,14,41,103,0,1294,554,2.335740072,8.2,24,90,,71,586.0187954,164.4302
408,0,14,41,103,10.7,1294,554,2.335740072,8.2,24,75,,60,586.0187954,164.4302
408,0,14,41,103,10.7,1294,554,2.335740072,8.2,24,90,,59,586.0187954,164.4302
408,0,14,41,103,21.3,1294,554,2.335740072,8.2,24,60,,44,586.0187954,164.4302
408,0,14,41,103,21.3,1294,554,2.335740072,8.2,24,75,,44,586.0187954,164.4302
408,0,14,41,103,21.3,1294,554,2.335740072,8.2,24,90,,44,586.0187954,164.4302
408,0,8,41,103,0,1201,647,1.85625966,6.1,24,60,,55,546.8814796,161.2802
408,0,10,41,103,7.55,1201,647,1.85625966,6.1,24,60,,53,546.8814796,161.2802
408,0,12,41,103,14.4,1201,647,1.85625966,6.1,24,60,,51,546.8814796,161.2802
408,0,14,41,103,20.7,1201,647,1.85625966,6.1,24,60,,45,546.8814796,161.2802
408,0,16,41,103,26.5,1201,647,1.85625966,6.1,24,60,,47,546.8814796,161.2802
408,0,8,41,103,0,1201,647,1.85625966,6.1,24,90,,68,546.8814796,161.2802
408,0,8,55.4,103,0,1201,647,1.85625966,6.1,24,60,,55,565.9098102,167.3714
394,0,14,52.57,105.14,21.47,1201,647,1.85625966,6.1,24,60,,29.71,571.5755308,165.67639
409,0,14,57.24,85.87,24.46,1177,623,1.889245586,6.1,24,75,,35.73,482.1030364,157.80716
444,0,14,44.44,111.11,18.55,1177,623,1.889245586,6.1,24,60,,38.69,579.2738376,171.13504
498,0,14,59.82,89.72,26.47,1153,599,1.924874791,6.1,24,60,,39.93,496.9251818,171.3805
462,0,14,46.15,92.31,18.61,1177,623,1.889245586,6.1,24,75,,42.51,497.7601427,163.31877
463,0,14,52.9,132.24,21.23,1153,599,1.924874791,6.1,24,75,,49.6,673.5210266,188.46978
408,0,14,62,93,4,1201,647,1.85625966,0,24,60,,32,520.3556036,155.2932
408,0,14,62,93,0,1201,647,1.85625966,0,24,60,,36,520.3556036,155.2932
408,0,14,68,103,0,1201,647,1.85625966,0,24,60,,48,574.0195995,163.5512
378,0,12,50,124,0,1294,554,2.335740072,8,24,70,,35.48,700.294607,176.2592
408,0,12,63,138,0,1201,647,1.85625966,8,24,70,,53.5,738.6868769,193.4562
428,0,10,57,114,43,1170,630,1.857142857,4.3,24,75,,35,602.8497816,173.433
428,0,12,57,114,43,1170,630,1.857142857,4.3,24,75,,43,602.8497816,173.433
428,0,14,57,114,43,1170,630,1.857142857,4.3,24,75,,46,602.8497816,173.433
428,0,14,57,114,43,1170,630,1.857142857,4.3,24,60,,38,602.8497816,173.433
428,0,14,57,114,43,1170,630,1.857142857,4.3,24,75,,46,602.8497816,173.433
428,0,14,57,114,43,1170,630,1.857142857,4.3,24,90,,49,602.8497816,173.433
428,0,14,49,112,43,1170,630,1.857142857,8.5,24,75,,30,589.2474853,175.205
444,0,14,44,111,43,1170,630,1.857142857,9,24,75,,30,579.3215951,175.236
428,0,14,57,114,43,1170,630,1.857142857,8.5,24,75,,40,608.7297816,179.733
428,0,14,49,122,43,1170,630,1.857142857,8.5,24,75,,28,633.8024928,180.925
428,0,14,49,122,43,1170,630,1.857142857,8.5,48,75,,32,633.8024928,180.925
428,0,14,49,122,43,1170,630,1.857142857,8.5,48,75,,30,633.8024928,180.925
428,0,14,49,122,43,1170,630,1.857142857,8.5,48,75,,32,633.8024928,180.925
428,0,14,49,122,43,1170,630,1.857142857,13,48,75,,30,640.1024928,187.675
428,0,14,49,122,43,1170,630,1.857142857,17,48,75,,29,645.7024928,193.675
428,0,14,49,122,43,1170,630,1.857142857,8.5,48,75,,36,633.8024928,180.925
428,0,14,49,122,43,1170,630,1.857142857,8.5,48,75,,45,633.8024928,180.925
428,0,14,57,114,43,1170,630,1.857142857,4.3,24,75,,30,602.8497816,173.433
428,0,14,57,114,64,1170,630,1.857142857,4.3,24,75,,24,602.8497816,173.433
428,0,14,57,114,86,1170,630,1.857142857,4.3,24,75,,20,602.8497816,173.433
428,0,8,57,114,43,1170,630,1.857142857,4.3,24,75,,32,602.8497816,173.433
410,0,10,67.1,117.4,79.2,1044.4,530.6,1.968337731,0,24,80,,28.3,568.3810975,167.8586
410,0,10,51.2,153.8,0.75,1157.5,588,1.968537415,0,24,80,,42.1,758.5554042,184.32365
410,0,10,41,143.5,11.9,1162,590.2,1.968824127,0,24,80,,49,702.1413743,174.21058
410,0,10,41,164,2.6,1154.9,586.8,1.968132243,0,24,80,,55.5,788.4101717,185.79063
500,0,16,80,120,0,1321,320,4.128125,6,24,60,,53.56,732.3878509,195.7899
400,0,16,80,120,0,1419,344,4.125,4,24,60,,45.95,771.7145896,182.1857
330,0,16,80,120,0,1165,360,3.236111111,3.2,24,60,,37.12,652.6609395,169.0675
410,0,12,61.5,123,45,1164,627,1.85645933,22.5,24,80,,35.91,671.0649414,205.4454
480,0,14,56,112,35,1140,606,1.881188119,12.5,24,80,,65.11,592.6488304,189.8114
420,0,8,48,120,0,1124,688,1.63372093,0,24,100,,37,590.605961,165.7908
420,0,10,48,120,0,1124,688,1.63372093,0,24,100,,43,590.605961,165.7908
420,0,12,48,120,0,1124,688,1.63372093,0,24,100,,50,590.605961,165.7908
420,0,14,48,120,0,1124,688,1.63372093,0,24,100,,55,590.605961,165.7908
420,0,16,48,120,0,1124,688,1.63372093,0,24,100,,67,590.605961,165.7908
500,0,12,65,163,25,78,1100,0.070909091,0,24,60,,40.2,151.2738791,198.6052
500,0,12,65,163,25,785,1100,0.713636364,0,24,70,,42.7,590.1254703,208.4325
404,0,14,41,102,25.5,1190,640,1.859375,6,24,60,,39.5,537.7649231,159.816
404,0,14,41,102,17,1190,640,1.859375,6,24,60,,49.5,537.7649231,159.816
404,0,14,41,103,13.5,1190,640,1.859375,6,24,60,,74,542.2965862,160.388
408,0,16,41,103,26,1202,647,1.857805255,6,24,60,,41.5,547.133716,161.1441
408,0,14,41,102,16.5,1202,647,1.857805255,6,24,60,,62.5,542.5563554,160.5721
409,0,11,129,204,10,909,686,1.325072886,0,24,80,,22.4,889.857404,243.7325
421,0,10,66,165,5,1273,318,4.003144654,8,24,100,,38,910.7393901,208.1959
